DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,PARANA,GASOLINA ADITIVADA,264,R$/l,5.67,0.24938998915295452,4.89,6.89,0.04402407192731289
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PARAIBA,GASOLINA ADITIVADA,35,R$/l,5.76,0.19551397465581402,5.46,6.65,0.03393313599723256
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,PARA,GASOLINA ADITIVADA,85,R$/l,5.91,0.39331322647178685,5.29,6.99,0.06654763130889914
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PERNAMBUCO,GASOLINA ADITIVADA,127,R$/l,5.79,0.27436657116543617,5.34,6.98,0.04739144365181373
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PIAUI,GASOLINA ADITIVADA,54,R$/l,5.92,0.3125055415301815,5.58,7.48,0.052785904857499455
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,RIO DE JANEIRO,GASOLINA ADITIVADA,310,R$/l,5.73,0.2801555806110797,5.25,6.99,0.04887187809256881
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,RIO GRANDE DO NORTE,GASOLINA ADITIVADA,53,R$/l,5.68,0.2184838573811332,5.43,6.49,0.03845799677399768
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,RIO GRANDE DO SUL,GASOLINA ADITIVADA,347,R$/l,5.51,0.33475564964876164,5,6.89,0.060710447509327636
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RONDONIA,GASOLINA ADITIVADA,56,R$/l,5.75,0.3452950310119717,5.27,6.93,0.060094148558903146
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RORAIMA,GASOLINA ADITIVADA,11,R$/l,5.95,0.11530985923312723,5.87,6.27,0.0193857321039951
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,SANTA CATARINA,GASOLINA ADITIVADA,210,R$/l,5.66,0.3510817263584375,4.96,7.46,0.06198215528762871
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,SERGIPE,GASOLINA ADITIVADA,39,R$/l,5.43,0.1647400110934217,5.23,6.18,0.03032239185581754
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,SAO PAULO,GASOLINA ADITIVADA,1086,R$/l,5.64,0.3603201265779225,4.63,7.99,0.06385890633676047
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,TOCANTINS,GASOLINA ADITIVADA,24,R$/l,6.02,0.32593427585007545,5.69,6.79,0.054120863146348286
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,ACRE,OLEO DIESEL,35,R$/l,8.41,0.372719508387706,7.72,8.65,0.04431637258015793
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,ALAGOAS,OLEO DIESEL,34,R$/l,7.13,0.5046338747979398,6.74,8.35,0.07078086688376369
